mjd, ra, dec, m, o, r, c
55275.9809381399973063, 292.0770766232717506, 39.7439345775598127, 10, 2, 50.0000000000096492, 49.9999999999429292
55278.9809381399973063, 292.0770766232717506, 39.7439345775598127, 10, 2, 49.9942536010604357, 49.9970511307985817
55281.9809381399973063, 292.0770766232717506, 39.7439345775598127, 10, 2, 49.9889278851641023, 49.9942341301086799
55284.9809381399973063, 292.0770766232717506, 39.7439345775598127, 10, 2, 49.9840263635597779, 49.9915506884544811
55287.9809381399973063, 292.0770766232717506, 39.7439345775598127, 10, 2, 49.9795568618238661, 49.9890062869487792
55290.9809381399973063, 292.0770766232717506, 39.7439345775598127, 10, 2, 49.9755259084582661, 49.9866055274364953
55293.9809381399973063, 292.0770766232717506, 39.7439345775598127, 10, 2, 49.9719388143558803, 49.9843530868538437
55296.9809381399973063, 292.0770766232717506, 39.7439345775598127, 10, 2, 49.9687997201441334, 49.9822528694371613
55299.9809381399973063, 292.0770766232717506, 39.7439345775598127, 10, 2, 49.9661115332536241, 49.9803083836404767
55302.9809381399973063, 292.0770766232717506, 39.7439345775598127, 10, 2, 49.9638761222296210, 49.9785227284050961
55305.9809381399973063, 292.0770766232717506, 39.7439345775598127, 10, 2, 49.9620942587538224, 49.9768985534801686
55275.9809381399973063, 287.3174475793272222, 43.7667501617128920, 8, 1, 667.8443921565648225, 441.7805196527033331
55275.9809381399973063, 292.7196819981729732, 48.1743907173658101, 17, 1, 621.3867711945443943, 841.0011510571482631
55275.9809381399973063, 287.9974428460303102, 45.9413297571864163, 12, 2, 522.7701597286164770, 425.7847392947320486
55275.9809381399973063, 289.8486500341583110, 46.5466828629333378, 12, 1, 323.7217580333928026, 531.1527212004365310
55275.9809381399973063, 293.0188951385711107, 37.8892735901740991, 10, 3, 334.7384268400087421, 369.9174243421239225
55275.9809381399973063, 285.7246492127413262, 43.1738695037805797, 8, 4, 332.2874981730092827, 263.5762093806373514
55275.9809381399973063, 290.7659994334318867, 48.7189849101119350, 17, 3, 498.6444427814198548, 653.6790167540744960
55275.9809381399973063, 289.9072460281223584, 51.9739625179173999, 16, 4, 346.7092817026713760, 365.1193962478605499
55275.9809381399973063, 294.7627921822621602, 40.3736189973735549, 15, 2, 521.6619447518739889, 739.3502180134723858
55275.9809381399973063, 288.7614372012706099, 50.1223979931176871, 16, 2, 789.8329168190711016, 379.6134607368403522
55787.9997563811994041, 282.8624788150100358, 46.7181409310398124, 22, 2, 422.1192145410732337, 857.6455518749479552
55625.3929921336093685, 287.2563533354418723, 42.0831260227674520, 14, 3, 580.7210466205732473, 565.9937046241386724
55193.9193906325235730, 283.9692410583125479, 47.3914313103209821, 4, 1, 483.4483729120705675, 456.7635046408299786
55903.1738041398857604, 283.0405089687936311, 41.0655315078594541, 23, 4, 334.1388742027837111, 687.0938200267335105
55688.5129516953602433, 294.4582167098869832, 49.9462616815833655, 22, 2, 475.6714311396665380, 718.5200524673974769
55385.4368638848536648, 295.9525883105204684, 47.6730681994005963, 15, 2, 231.7549332672193145, 369.4424023130140995
55963.9234777761739679, 293.2237226213075019, 42.8086035155771398, 18, 2, 678.7040474303610154, 509.0195776235394760
55410.1249657549851690, 292.1519554616440928, 42.2008466326833158, 8, 1, 775.4299214093573482, 821.3911829954384984
56050.9388907712273067, 297.2121482637543295, 43.5144583906998079, 19, 4, 464.2160189160000527, 753.9493039118700608
55432.3509043806625414, 286.6975171022040740, 42.9523226011875110, 12, 4, 738.1672535454873696, 803.9898721536169433
55295.9809381399973063, 297.2860200000000077, 38.3905630000000002, -1, 3, 18.5000000000000000, 10.5000000000000000
55295.9809381399973063, 291.8963669999999979, 50.2489830000000026, 16, 1, -110.2614071613909914, 260.5971416727190899
55295.9809381399973063, 291.7982864999999606, 50.9598780000000033, 16, 1, 465.4747382053446358, -33.0558888829009447
55295.9809381399973063, 296.8971450000000232, 39.8938970000000026, 20, 4, 533.3090101679670170, -20.8831055425666818
55295.9809381399973063, 289.8227865000000065, 37.6509969999999967, -1, 3, 18.5000000000000000, 10.5000000000000000
55295.9809381399973063, 301.6115399999999909, 45.8237049999999968, -1, 3, 18.5000000000000000, 10.5000000000000000
57556.7424818501531263, 271.1641992466527427, -26.6394395943242337, 15, 1, 339.4069548371080032, 724.8255838157147082
57931.4819396319217049, 161.4472196118545355, 8.7281994486579677, 14, 1, 278.1362925489385702, 675.4951770190992875
57016.6004659992177039, 341.9889575037414033, -14.0484039209118485, 6, 1, 795.5605595273900690, 850.6966672005992223
57641.2317769181972835, 179.7748003162712109, -5.1905954368209395, 22, 4, 200.8654385909758844, 628.9899502057093059
57524.3618708168141893, 273.6546318827874984, -24.5413344266745206, 19, 1, 548.9008524884731060, 602.8451781850649240
57867.8789628661179449, 76.4389253322296440, 22.5114474891485195, 8, 3, 258.6259597851307035, 662.7297518553284590
58174.0842578306910582, 136.8896026210606749, 16.5281582580282986, 19, 3, 849.5800903657654999, 211.1208595710907048
58028.2437208969713538, 231.7075445286327806, -14.8973017185271495, 20, 1, 586.6298833850667052, 222.6147134191425039
57220.9626063233663444, 204.0759329014686898, -10.3112371974864363, 13, 1, 286.2054941709125728, 302.1890721743968697
56775.8158333487881464, 101.6941329719094398, 22.7345643692038557, 8, 3, 686.4991160134179609, 575.4451831653194631
